Date,Open,High,Low,Close,Adj Close,Volume
2021-08-12,2124.899902,2126.199951,2105.000000,2110.500000,2110.500000,3755507
2021-08-13,2117.300049,2149.899902,2108.949951,2145.649902,2145.649902,5898384
2021-08-16,2149.350098,2203.000000,2128.149902,2173.500000,2173.500000,10123204
2021-08-17,2168.850098,2185.199951,2147.850098,2164.250000,2164.250000,5841743
2021-08-18,2174.000000,2186.800049,2152.600098,2172.649902,2172.649902,4650008
2021-08-20,2143.000000,2172.000000,2137.000000,2148.250000,2148.250000,4350228
2021-08-23,2174.000000,2174.000000,2132.300049,2162.350098,2162.350098,4547802
2021-08-24,2165.050049,2192.000000,2155.600098,2183.699951,2183.699951,5475452
2021-08-25,2185.399902,2220.000000,2180.100098,2202.600098,2202.600098,6175126
2021-08-26,2208.000000,2244.899902,2205.000000,2230.449951,2230.449951,8579105
2021-08-27,2237.000000,2242.750000,2216.050049,2227.399902,2227.399902,4836812
2021-08-30,2250.000000,2275.850098,2236.800049,2270.250000,2270.250000,6473487
2021-08-31,2276.899902,2283.750000,2242.250000,2258.149902,2258.149902,12223037
2021-09-01,2273.000000,2292.899902,2263.000000,2267.100098,2267.100098,5143640
2021-09-02,2255.000000,2307.800049,2255.000000,2294.399902,2294.399902,4595048
2021-09-03,2310.000000,2395.000000,2302.500000,2388.500000,2388.500000,14151629
2021-09-06,2413.000000,2480.000000,2412.000000,2425.600098,2425.600098,15525644
2021-09-07,2430.000000,2458.000000,2412.000000,2440.899902,2440.899902,8006968
2021-09-08,2452.000000,2454.000000,2406.649902,2431.350098,2431.350098,6600210
2021-09-09,2427.899902,2437.850098,2416.100098,2425.600098,2425.600098,4136538
2021-09-13,2433.000000,2433.000000,2368.050049,2371.550049,2371.550049,7527598
2021-09-14,2375.000000,2394.000000,2366.000000,2368.449951,2368.449951,4111205
2021-09-15,2368.500000,2395.750000,2368.500000,2378.300049,2378.300049,4186300
2021-09-16,2381.550049,2436.750000,2367.000000,2428.199951,2428.199951,6206657
2021-09-17,2446.000000,2455.850098,2375.600098,2390.550049,2390.550049,16098099
